input_text,target_text
generate description: Orien 1 Roll of Strong Elastic Crystal Stretchy Beading 0.8mm Thickness 10m Thread Cords Rope String For Charm Bracelet Jewelry Making (#4 Black),Colour Name:#4 Black Size: Approx. 0.8 mm in diameter Conversion: 1 inch = 25.4mm or 1mm = 0.0393 inch Conversion: 1 roll = 10 meters Material: Crystal stretchy string <more strong and stretchy>
generate description: 100 pieces 3mm Silver Plated Coil Crimps Connectors - A6546,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: Orien 925 Ladies Sterling Silver Plated Earrings Pendant Hook Crystal Dangler Handcrafted Earrings Party Wedding (#173 52*12mm Purple Branch),Colour Name:#173 52*12mm Purple Branch Great gift for yourself or the people you care. Color may vary slightly due to the color calibration of each individual monitor. Packing: 1 Pair x Earrings
generate description: 10 Sets 12x15mm Tibetan Silver Plated 3 Hole Toggles Clasps - A6536,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: ETHAHE 600pcs Gray Latex-free Loom Refill Rubber Bands Pack Bracelets with 24 S-Clips & 1 Hook,·Wrap your wrists in our stylish and super-functional loom bands designed to make perfect bracelets. ·A great gift and an absolute must-have collection. ·Also develop the creativity in children. ·Product exclusively designed and delivered by ETHAHE. All rights reserved.
generate description: Guidecraft Wooden Tabletop Easel,"Product Description Our deluxe easel features durable wooden construction and two work surfaces to be used by multiple children at once. One side has a write-on/wipe-off marker board with three no-spill paint cups; the other side has a chalkboard surface and a three-section chalk tray. Both sides feature child-safe paper cutters on the top. Comes complete with a 18"" x 100' roll of art-grade paper. Folds flat for storage. Adult assembly required. Ages 3+. Dimensions in CM 19W x 17D x 19.5H Box Contains 1 x wooden tabletop easel1 x 3 paint pots1 x 12"" paper roll"
generate description: Hama Maxi Beads Car Set,"Product Description Create fun models with the Hama Maxi Beads Car Set. This set includes 250 beads, 1 pegboard, 2 bead supports, instructions and ironing paper. Children can develop their creativity by producing colourful bead designs on the plastic pegboards; to make a model the beads can be ironed using the special ironing paper. The peg boards can be used again and again, which come in a variety of shapes and sizes. With Hama the possibilities are endless! Suitable for 3 years+. Box Contains 250 beads1 pegboard2 bead supportsinstructionsironing paper."
generate description: 20 pieces Tibetan Silver Angel Wings Alloy Charm - A0017,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
"generate description: 34-36"" Strand Dyed shell 7-12mm Chip beads - Dark Purple - A5087","Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: Orb Factory Orb Factory Jewellery Box,Get beautiful results with this decorate-by-number jewelry box. Includes hundreds of glittering sticker with an easy to follow design. Includes 1000+ sticky foam and jewel pieces and 1 numbered jewelry box.
generate description: sequin art Owl Craft,Product Description Makes stunning Sequin Art decoration using easy to follow instructions.Makes stunning designs to be proud to display Safety Warning not appropriate for children under the age of 3 See all Product Description
generate description: SES Slate and Chalk Set,"Product Description A set of twelve high-quality, coloured chalks and a slate for children. The chalks are brightly-coloured and create beautiful designs on boards. Box Contains 1 x Slate; 12 x Box"
generate description: 1 x 3mm Bracelet Wire fit Pandora Beads - 7 Inch - A5426,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: 10 pieces Organza Gift Bags / Jewellery Pouches - 13x18cm - Hot Pink,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: 50g / 2000 beads+ / 11/0 - 12/0 Silver Lined Seed Beads - Amethyst - S0012 / 50g,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: Grafix Animal Designer Bead Set,"Product Description Get creative and try a new activity with Grafix Designer Beads Kit; Unleash your creative side, fuse beads together to create fun animal shapes; Box Contains 800 Beads; 2 x Peg Boards; 2 x Ironing Sheets"
generate description: Lyndie's Craft 10mm Spiral cages x 10. Silver plated,"Colour Name:Silver 10 Spiral cages - 9mm , Silver plated.,(bead shown as an idea. Not included),"
generate description: Lyndie's Craft 4 x SP Clip on earrings with attached ear nut. Converter. Jewellery. Findings.,"4 Clip on earrings with attached ear nut. Silver plated. For converting your pierced earrings to clip on's.Please note: the earrings pictured are not included, but show how your wing nut can be added for extra security. The height of the 'bit that shows' is 16mm."
generate description: 100 pieces Tibetan Silver Style Alloy Connector Rings - A0244,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
"generate description: Pinflair Flower Beads, 10mm Irridescent - Peach, pk of approx 17","Pinflair Flower Beads, 10mm Irridescent - Peach, pk of approx 17. Plastic with hole through centre."
generate description: 70 - 100 Meters x 0.38mm Tiger Tail Beading Thread Wire - Silver - A7312,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: Coloured Elastic 4 Assorted colours 10m per colour Children's Jewellery making (4 reels),This product is one of our great range of own brand bead craft products for children. The range available from our amazon shop includes both various types of beads and cord and elastic.
generate description: Hape All-in-one Easel,"Product Description HAP-E1010 A Double-sided easel with a magnetic white board, chalk board and replaceable paper roll for drawing, sketching and painting. Includes adjustable height and screw down clamps to keep drawings and paintings flat. Also includes three paint pots. Helps develop creativity and your little one's inner artist. Suitable for children from three years. Box Contains 1 x Easel 3 x Chalk 1 x Paper Roll"
"generate description: 8 x Antique Bronze Filigree Heart Charms with Jump Rings included for attachments. Universal use for Jewellery, Card Making and Scrap-booking. Check out our Fantastic wide range of Beads, Charms and Findings (Ref9B36)","8 x Antique Bronze Filigree Heart Charms with Jump Rings included for attachments. Universal use for Jewellery, Card Making and Scrap-booking. Check out our Fantastic wide range of Beads, Charms and Findings (Ref9B36)"
generate description: 200 pieces 8mm Gold Plated Metal Jump Rings - 0.9mm - A6314,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: 30 pieces Tibetan Silver Alloy Bead Caps - 8mm - A0436,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: 100 pieces Tibetan Silver Alloy Spacer Beads - A0243,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: Lyndie's Craft Tibetan Silver 4 hole square connectors x 8. 15mm.Jewellery," Pack of 8 Tibetan Silver Four hole Square connector links / joiners., 15mm square x 20mm across the diagonal,Would be great for necklaces,bracelets or ear droppers. Same both sides.,"
generate description: Monster High Nail Art Design,"Product Description Everything you need to design and decorate ""creepy-cool"" nails. Includes stick-on nail set, 2 colours of nail enamel, detailing brush, 3D nail art stickers, colourful nail decals, glitter stickers, sequins, gems & design guide. Over 300+ pieces. For ages 7+ Box Contains 1 x Nail Art Design Set"
generate description: Beado's Refill,Product Description Beados are the magic beads that join with a spray of water! The Beaos Refill Pack is the perfect way top up your Beados World! Including 500 beads in 5 fabulous colours you can make and display even more Beados designs using your other Beados products Box Contains 500 x Beados
"generate description: Loom Bands 300 or 600, Rainbow, Glitter, Metallic, Candy Stripe, Colour Changing, Glow in Dark, Scented, Solid, Tie Dye (Glitter 300)",Colour Name:Glitter Loom Bands
generate description: Markylis - 5 GOLD PLATED MAGNETIC ROUND JEWELLERY CRAFT CLASPS - MCR08,Markylis - 5 GOLD PLATED MAGNETIC ROUND JEWELLERY CRAFT CLASPS - MCR08
generate description: Millhouse Lollipop Easel,"Product Description The Lollipop Easel is Millhouse’s highest spec, top of the range easel. Made from the finest quality birch plywood, this easel will stand up to everything your budding Picasso can throw at it! The Lollipop easel features a large blackboard and whiteboard drawing surface, 2 durable plastic trays, a paper roll holder and paper roll, a pivoted stay to prevent legs from splaying, and a hook for hanging aprons when not in use. Also folds up compactly for ease of storage. With its contemporary design, this beautifully crafted easel also looks great and is a fantastic addition to any home environment. Made from the finest quality birch plywood, and hand painted MDF this quality easel is sure to last generations, making it great value for money. Age 3+ Box Contains 1 x folded Lollipop Easel and Paper Roll"
"generate description: HAMA 207-05 - Beads Red, 1000 Pcs","Create brilliant designs and decorations with these super HAMA Beads. Simple to use, they help develop a childs creativity from age 5. Just place the beads one by one on the pegboard following your chosen design, fuse the beads together with ironing paper and iron. Once cold, peel off the paper to reveal your decoration. Contents: Approx 1,000 beads. Available in 19 colours - Inluding Gold, Silver & Bronze. Also available is a Mix Pack, which contains either a Fluorescent, Translucent or Glitter Mix of your favourite colours. Suitable for ages 5+"
generate description: Hama Beads - Neon Pink (1000 Midi Beads),"Let your creativity run wild...Included is a bag with 1000 hot pink beads. Imagination has no limits. There are many things that can be created using the beads, such as: figures and funny animals ... with these hot pink beads, anything is possible!Content:Bag with 1000 hot pink beadsReccomended age: 5 Years +"
generate description: 300 Stripey Friendship Loom Bands - 12 S Clasp and 1 Hook,"Create amazing jewellery with these stripey loom bands. Includes 300 bands, 12 s clasps and 1 hook."
generate description: Hama Beads 9000 Beads and Pegboards Tub (Blue),"Product Description Approximately 9000 Beads and Teddy Bear, Butterfly and Dolphin Pegboards. Also includes ironing paper and full instructions and Patterns. Box Contains Contains 9000 beads, 3 pegboards, coloured design sheet, instructions & ironing paper."
generate description: GoGo Bead Lacing Kit,"Product Description A great, versatile beading kit. Children can simply build a tower and copy the picture on the double-sided cards, following the pattern with the coloured beads. It is excellent for learning about patterns and sequences, as well as developing early number skills such as counting. For additional play value a lace is included for threading activities that will improve hand and eye co-ordination and fine motor skills. It comes complete in a wooden storage box to ensure that everything stays where it is supposed to be when not in use. This is sure to be a big hit with any lucky recipient. Box Contains 1 x Set of coloured beads5 x cards 3 x Posts 1 x Lace"
generate description: Perler Swamp Thangs Blister Set (2000-Piece),"Product Description Create creatures from the slimy deep with the fun Swamp Thangs kit from Perler! With reusable pegboards, you can create even more with your own collection of beads! Box Contains Contents:2000 beads, Frog pegboard,Gecko pegboard,Turtle pegboard,Ironing paper,Easy instructions"
generate description: Loom Bands 600 Bands / Clips / Hook - T1 Black,Colour Name:T1 Black 600 Bands / 24 Clips / Hook (This Full Range Only Available In 600 Bands )T1 Blackt2Clear Bandst3Whitet4Light Greyt5Charcoal Greyt6Clarett7Burgundyt8Redt9Dark Redt10Oranget11 Dark Oranget12 Shade Of Oranget13 Shade Of Oranget14Yellowt15Bright Yellowt16Dark Yellowt17T18T19T20 Skintonet21Skintonet22 Mixed Skintone Colourst23 Light Brownt24 Chocolatet25 Dark Brownt26 Greent27 T28 Forest Greent29 Dark Greent30 Very Dark Greent31Olive Greent32T33T34T35T36T37Baby Pinkt38Pale Pinkt39Mixed Colourst40Navyt41 Dark Bluet42 Mid Bluet43 Bluet44 Pale Bluet45 Tealt46 Shade Of Tealt47 Hyacinth T48 T49Purplet50Lilachandmade Colour ChartWarning- These Bands/Clips Are Unsuitable For Children Under 3 Due To Small Parts And The Choking Hazard.Please Supervise Toddlers And Babies When In The Vacinity Of Older Kids Making Bracelets Etc..
generate description: Tidlo Wooden Beads,"Product Description Wooden Beads. Colourful wooden beads with elastic thread all in a tub. Approximately 300 beads will enable you to make numerous bracelets and necklaces. Colours include pink, blue, yellow, green, red, orange and white. Box Contains Approximately 300 beads elastic threadplastic jar"
generate description: 600 x Loom Rubber Bands 2 Colour 24 x S Clips Tool Twist Colourful,"Each pack includes 300 x bands, 12 x ""s"" clips, 1 x hook. Colour may vary. Age: 3+"
generate description: 25g Lilac Purple Acrylic Faceted Teardrop Beads - 12mm - A5372,"Welcome to k2, we offer combined items postage, UK combined items postage discount: £1.00 P&H for combined items under £10.00, £2.00 - £3.50 P&H for combined items between £10 to £50, Free P&H for the shipment, when combined items order over £50."
generate description: KSG Pin-It Motorcross,"Colour:DESIGN 1  |  Package Quantity:1 Product Description make a great dazzling picture with sequins,pins with Pin-it Motorcross Box Contains Pin-it"
generate description: Hama Maxi Beads 500 Solid Mix,"Bag of 500 solid colour beads, suitable for ages 3+."
generate description: C6 - 114 mm x 162 mm Envelopes Voilet (qty 25),C6 - 114 mm x 162 mm Envelopes Purple (qty 25)
generate description: Super Poster Display Paper x 1 Roll Orange,A range of vivid display rolls in a choice of 10 colours. Size:760mmx10m
generate description: Be Creative A2 Sugar Paper 250 Assorted Sheets,"100% recycled bright A2 sugar paper A great value for money pack of everyday craft paper. Our bright A2 sugar paper packs contains ten bright colours - Red, gold, lime, orange, plum, emerald, cerise, yellow, blue, brown. This bright sugar paper is also know as kaleidoscope sugar paper. Each pack of paper contains 250 sheets - 25 sheets of each colour of sugar paper in 100 gsm weight. Great for painting, drawing, collage and display. All of the sugar paper colours in this pack are also available as 250 sheets single colour sugar paper packs Item Specifics •Quantity - 250 Sheets •Colour - Bright Assorted Kaleidoscope •Size - A2 - 420mm x 594mm"
generate description: Batman - The Dark Knight Small Stickers,"Great pack of Mini stickers. These are great for personalizing small items like Mobile Phones or MP3 players can can be stuck where ever you like, Pen drives or laptops..."
"generate description: Quilling Papers 3mm, Pack of 100 - Assorted Blues","Quilling Papers 3mm, Pack of 100 - Assorted Blues. High quality papers in strips approx 450mm long. Use in the craft of quilling for cardmaking, scrapbooking, decorations, mobiles, jewellery, miniatures, paper weaving and more."
generate description: FUN STICKERS FLOWERS,"Ignite your child's imagination with Craft Planet Fun Stickers. Add to any fun arts & craft project. Package contains one (1) sheet of self-adhesive lazer stickers in different themes, shapes and sizes. Recommended for Ages: 3+"
generate description: Diary with Lock & Key - Mermaid,"This diary, featuring assorted ""Mermaid"" images and illustrations is a book to dream and write secrets, or journal and add fun stickers and other embellishments, or simply for doodling. The Peaceable Kingdom Diary with its lock and key is popular with both boys and girls. Details: 240 coloured lined pages Lock with two (2) keys Measures 5 1/2"" x 6 1/4"" x 1"" (13.97 x 15.88 x 2.54cm). Recommended for Ages: 5+"
generate description: Trend 100 Applause Stickers - Music Rewards,It's easy to inspire children with Trend's Applause STICKERS®! The esteem-building messages and collectible designs make them ideal for all occasions. 100 stickers in 4 different designs.
generate description: Paint By Numbers Kits Canvas Mounted on Wood Frame with Brushes and Paints by *Moon's Outlet* Reverside House + Girl + Hug + Plum Blossom + Love of Birds + Poppy Garden + Romantic Coast + Lakeside + Lotus Pond + Street in Paris + Buddha + Child Interests + Bridges + Baby Panda + Pink Lady + Chindhood + Heaven + Love The Sea + Swallow + Green House + Ducks + Provence + Poeny + Carp + Magnolia for adults children seniors junior DIY digital oil painting (Peony),"Colour Name:Peony Dear friends: No matter how did you get this Paint-by-Numbers, when you open it and try to finish it, you have already become an artist, and no matter what do you use it for. It will bring you a joyful surprise. Paint by Numbers is a DIY craft popular in Europe, Japan and Korea. It combines many functions in one, it can be a present for others, your live entertainment and your home the painting artwork. It offers all the basic painting skills, a sense of accomplishment and amusement. You can share the fun of painting with your family, Lover and friends, it will be your own masterpiece for collection."
"generate description: Schipper 9220 385 - Painting by Number Cartload of Log, 40x80cm",Product Description Cartload of LogCartload of Log gives insight into the tough life of mountain farmers.Picture size [cm]: 40 x 80 cm (without frame)
"generate description: Card Charms - Christmas CH0046, 20mm, pk of 5","Card Charms - Christmas CH0046, approx 20mm, pk of 5. Craft embellishments. Decorative elements, great for cards, scrapbooking, decorations etc"
generate description: MADE4U Paint By Numbers Kits Canvas Mounted on Wood Frame with Brushes and Paints for Adults Children Seniors Junior DIY Beginner Level Acrylics Painting Kits on Canvas (Audrey Hepburn 8651),"Colour Name:Audrey Hepburn 8651 Dear friends: No matter how did you get this Paint-by-Numbers, when you open it and try to finish it, you have already become an artist, and no matter what do you use it for. It will bring you a joyful surprise. Paint by Numbers is a DIY craft popular in Europe, Japan and Korea. It combines many functions in one, it can be a present for others, your live entertainment and your home the painting artwork. It offers all the basic painting skills, a sense of accomplishment and amusement. You can share the fun of painting with your family, Lover and friends, it will be your own masterpiece for collection."
generate description: Despicable Me Minions Sticker Fun With 5 Sticker Sheets,"Product Description Bring Gru's mischievous minions to your home to entertain your little ones with this fantastic Despicable Me Sticker Fun Pack! This amusing pack includes five amazing sticker sheets that feature minion characters dressing up and having fun, lots of their favourite banana snacks and the three charming little girls; Margo, Edith and Agnes. Created by Anker, a producer of reliable and quality childrens creative play and activity equipment. Suitable for ages 3+. Box Contains 1 x Despicable Me Sticker Fun"
generate description: Jungle Fun Craft Stickers,"This set of 15 Fun Jungle stickers is perfect for decorating cards, letters, stationery and many more. Kids and fans of art and craft will love these stickers. They are a variety of Jungle animals. Use them to reward your child or just for decoration. These stickers are ideal for arts and crafts, scrapbooks, educational projects, presents, pictures and much more. Suitable for children aged 3 and over."
generate description: NUMBER GLITTER STICKERS GOLD,NUMBER GLITTER STICKERS
generate description: 540Pcs Children School Teacher Classroom Smiley Face Reward Stickers 4 Colors,"Description:100% brand new and high qualitySmiley faces give you good mood everydayGreat gift for your students and childrenSuitable for school and family encouraging, praising and rewarding childrenSpecifications:Material: PaperColor: Yellow+Red+Green+BlueEach sheet sticker quantity: 54(Yellow 18, red green blue are all 12)Single sticker diameter: Approx. 0.59inch/1.5cmSingle paper size: Approx. 4.21*6.22inch/10.7*15.8cmPackage included:10 Sheets smiley face stickersNote:1.Please allow a little size error due to manual measurement.2.Please be reminded that due to lighting effects and monitor's brightness/contrast settings etc, the color tone of the website's photo and the actual item could be slightly different."
generate description: Schipper Premium Painting by Numbers Santa - By The Fireplace,"Create a masterpiece without mixing colours! Includes every colour you would need to make the picture - no mixing required. Patented cardboard 40x50cm canvas structure with fine contour drawing, water-based paints (acrylic) in pot with cover mechanics. Easy to open and close. Painting without odours. Dilution of colours and brush cleaning with clean water."
generate description: Snappy Learner - Adding with fun reward chart & stickers (teach maths and adding help child development book),"Snappy Learner is perfect for children to practise new things they are learning in school. The activities are linked to school topics to help child's development, with a reward chart and stickers to encourage, reward and boost your child's confidence."
"generate description: Diy oil painting, paint by number kits for kids - The little girl 20X30cm.","Painting Construction:You can decide the drawing turn according to your personal favor or in turns of the numbersFor the white paint and other light color paint part, the figures left on the canvas may be seen, you can double use the paint and try to cover with the thick paintthe paint:use the paint directly and do not add any waterthe match the number of the paint and the figure on the canvas to fill in the paintif you careless to fill in a wrong color, you can wait the paint to get day and then cover the wrong part with the correct color on the surfacethe brush:wash the brush cleanly when you change to another colorfor the large part, you can use the larger brush to paint, and for the small part, you can use the smaller brush to paintwash the brush cleanly every time you finish painting for the next time usethe canvas:professional canvas design for DIY oil paintNote: Its need adults's guardianshipAttention:If you happen to have the paint on your clothe, please wash it immediately.Please cover the lid of paint well when you do not use it, in case the paint gets dry.The figures on the canvas may not be covered entirely, hope you do not mind.The paint we offer is enough for the normal use, please do not waste it in case of the paint shortage.ANY OTHER QUESTION, PLEASE CONTACT US. THANK YOU."
generate description: Heart Self-Adhesive Acrylic Jewels Gems Rhinestones Children's Craft Activities Supplies (Pack of 200),This product can be used to decorate or embellish the wide range of own brand craft activities and kits available on our amazon shop.
"generate description: Green Giant Printing, Painting and Inking Paint Pad","One (1) Green coloured Giant Washable Paint and Inking Pad measuring 15cm (5.91"") in diameter. Big enough for making palm prints, yet versatile enough for children's stamping activities to use with any home or school arts & craft project. Cosmetically Safe Washable Clean and Easy to Use Recommended for Ages: 3+"
"generate description: Fish Animal sticker decal Metallic Glitter 1 sheet Dimensions: 13,5 cm x 10 cm","A wonderful high-quality printed sheet with great stickers. The bow will be shipped in a foil so that nothing happens during the transport. The dimensions of a sheet of 13,5 x 10 cm. All stickers are individually removable"
"generate description: Schipper 9260442 - Painting by Number, Pyramids at the Nile, 50x80 cm","Product Description Pyramids at the Nile""Pyramids at the Nile"" or the pyramids of Gizeh. An impressive triptych of the mysterious Egypt. It displays the Pyramid of Cheops, Pyramid of Khafre and the Pyramid of Menkaure.Picture size: 50x80 cm without frame(1 painting 40x50cm, 2 paintings 20x50cm each)"
generate description: The Original Glowstars Company Glow in the Dark Stickers Spacecraft,"Product Description The Original Glowstars Company introduced these amazing new Spacecraft glow-in-the-dark stickers to the range in August 2012. Create a magical outer-space display on ceilings and walls with the self-adhesive rockets, spacecraft, moons, stars and more. Unlike plastic glowstars these Original Glowstars cannot be seen on a white background in the daylight but come to life when the light goes out!The Original Glowstars Company was first formed in the nineties bringing Original paper Glowstars to the nation. No home was complete without a glowing night sky on bedroom walls and ceilings. Now The Original Glowstars Company brings, not just paper Glowstars, but a whole array of glow-in-the-dark items to make your home a fun, educational, ""glowing"" place to be. The Glow range includes Glow 3D, Glow Morph and Cosmic Glow. Now that kids grow out of toys earlier and earlier, glow products will appeal to kids into their tween and teen years. Ideal for pyjama parties and sleepovers. Even adults will love to decorate rooms with this beautiful home decor. Box Contains 2 x Sheets of stickers"
generate description: NPW Whatever Banner Kit with 100 Multicoloured Letters,"Product Description NPW Whatever Banner Kit is best for any occasion, spell out the message on a personalised banner with these re-usable letters. Contains 70 multicoloured letters, 18 numbers, 12 symbols, clips and hanging strings. Box Contains 70x Multicolored Letter18x Number12x Symbol1x Clip1x Hanging String"
generate description: Anker Princess Play Pack,Product Description 1x Princess Play Pack Box Contains 1 x Princess Play Pack
generate description: Thomas the Tank Engine - Small Stickers,"Great pack of Mini stickers. These are great for personalizing small items like Mobile Phones or MP3 players can can be stuck where ever you like, Pen drives or laptops..."
generate description: Sons Of Anarchy Moto Club Skull Sticker,Sons Of Anarchy Moto Club Skull Sticker
generate description: Moshi Monsters Series 3 Moshling - ROLAND JONES,Moshi Monsters Series 3 Moshling - ROLAND JONES
generate description: Paper Projects Minions 2 Foiled Stickers,Product Description Minions 2 Foiled Stickers Box Contains Sticker sheet backing board
generate description: Death Note L & Motif Vinyl Sticker Set,DEATH NOTE-- Plate of mini-stickers (16 X 11cm)
generate description: 12 Red Glitter Cake Candles with Holders,Pack of 12 red candles with a glitter finish. Size 7.5cm high including base.
generate description: A4 Ivory Hammered Cardstock 300gsm - 100 Sheets,Ivory card made from quality 300gsm cardstock with a hammered embossed finish. Each sheet is A4 - 210mm x 297mm (8.3 in ?11.7). Perfect for weddings and special occasions which require premium quality cardstock. Use with all types of Laser and Ink Jet Printers. *Note:* Check your printer will take 300GSM thick card.
generate description: STICKY EYES/576 STICKERS,STICKY EYES
generate description: Paper Projects Happy Hearts Sparkle Stickers,Product Description Happy Hearts Sparkle Stickers Box Contains Sticker sheet backing board
generate description: FLAGS USA America sticker decal Metallic Glitter 1 sheet Dimensions: 13.5 cm x 10 cm,A wonderful high-quality printed sheet with great stickers. The bow will be shipped in a foil so that nothing happens during the transport. The dimensions of a sheet of 13.5 x 10 cm. All stickers are individually removable
generate description: 5Pcs Cute Cartoon Chick Shape Ballpoint Pen Fancy Beauty Fashion Creative Stationery(Pack of 5: random color),"This cute plush wolf ballpoint pen is both FUN and FUNctional! Featuring a soft and comfortable grip, this smooth writing blue pen is sure to become a favorite of any animal lover! Suitable for the office, family, school use Made of plastic material, quite durable Smooth, Long lasting, Refillable, comfort grip, Rectractable Note: we ship it randomly!please don't select,Thank you!!!"
generate description: Kids Create: Reward Stickers Pad (10 Sheets),"A4 Reward Stickers in a pad, 10 sheets of stickers. Over 1000 Stickers inside! Designs: - 2 x Animals - 2 x Smily Faces - 2 x Stars - 2 x Illustrated Assortment - 2 x Mini illustrated circles - 2 x Belongs To Age 3+"
generate description: Monster High: Activity Book with 1000 Stickers,"This fun sticker activity book is overflowing with puzzles, games and colouring pages perfect for little princesses! There's enough here to keep you entertained for hours, so grab your pens and dive in! Over 75 different activities to complete."
generate description: Early Learning Centre Magnetic Letters - Upper Case,Early Learning Centre - tub containing 68 magnetic letters for fun on the fridge or other metal surfaces. Age 3-6yrs.
generate description: Super Poster Display Paper x 1 Roll - Dark Blue,A range of vivid display rolls in a choice of 10 colours. Size:760mmx10m
generate description: Sons Of Anarchy Patch Sticker,Sons Of Anarchy Patch Sticker
generate description: 36 Christian Fish Sparkle Reward Stickers,"T-63703 Christian Fish Sparkle Stickers®Brilliant shine illuminates these fun, uplifting Christian designs. Use as rewards for good work in classrooms or after-school programs, or as inspiring gifts to brighten anyone's day. 30—40 pack."
"generate description: Peel Off Sticker Sheets - Baby, Mixed Colours, Pk of 10 assorted sheets, 23cm x 10cm","Peel Off Sticker Sheets - Baby, Mixed Colours, Pk of 10 assorted sheets, 23cm x 10cm. Use to decorate cards, scrapbooks etc. The sticker can be lifted from the backing with the aid of a pin if needed."
generate description: Decopatch Paperpatch Varnish Glue 70g and PC10 Brush,"Decopatch is a decorative papercraft, a bit like papier mache. A modern twist on decoupage, it uses special papers, glues and varnishes to bring 3D objects to life"
generate description: Anitas 3m spotted ribbon reel - Cabernet,"Use Anita's Spotted Ribbon to add a fun embellishment to any handmade card or paper craft project. Perfect for creating bows or for threading your stitching themed projects. Spool contains 3m (3.28 yards) of approximately 10mm (.40"") wide high quality Spotted Ribbon."
generate description: Reeves PPNFM2 Painting by Numbers Mini Pony,"Product Description The postcard size makes them an ideal activity to take wherever you go. Bright colourful designs inspire and captivate young minds. Box Contains 1 x Pre-Printed Board 7.09"" x 4.33"", 7 x Paints, 1 x Brush and 1 x Set Of Full Instructions"
generate description: METALLIC STICKERS - FLUTTERBY CPT 8181122,METALLIC STICKERS - FLUTTERBY CPT 8181122
generate description: 80 Farm Animal Stickers (5 strips of 16 stickers),"Farm Animal Stickers supplied in 120 x 110mm strips, with each strip containing 16 stickers."
"generate description: [ New Release ] Diy Oil Painting by Numbers, Paint by Number Kits - Love Forever 16*20 inches - Digital Oil Painting Canvas Wall Art Artwork Landscape Paintings for Home Living Room Office Christmas Decor Decorations Gifts - Diy Paint by Numbers Diy Canvas Kit for Adults Advanced Children Seniors Junior - New Arrival - No. D273","Colour Name:With Frame Welcome to our store! Find more new GREAT PAINTINGs DIY or by Professional Artist to our gallery shop - U.R.Beautiful Painting Instructions: -- You can decide the drawing turn according to your personal favor or in turns of the numbers. -- For the white paint and other light color paint part, the figures left on the canvas may be seen, you can double use the paint and try to cover with the thick paint. The Paint: -- Use the paint directly and do not add any water. -- Match the number of the paint and the figure on the canvas to fill in the paint. -- If you careless to fill in a wrong color, you can wait the paint to get dry and then cover the wrong part with the correct color on the surface. The Brush: -- Wash the brush cleanly when you change to another color. -- For the large part, you can use the larger brush to paint, and for the small part, you can use the smaller brush to paint. -- Wash the brush cleanly every time you finish painting for the next time use. The Canvas: -- Professional canvas design for DIY oil paint. Attention: -- If you happen to have the paint on your cloth, please wash it immediately. -- Please cover the lid of paint well when you do not use it, in case the paint gets dry. -- The figures on the canvas may not be covered entirely, hope you do not mind. -- The paint we offer is enough for the normal use, please do not waste it in case of the paint shortage. Dont Forget: U R Beautiful"
"generate description: 1 x SILVER Evening Invitations Peeloff Stickers Wedding, Cardmaking, Scrapbooking 412",1 sheet of peel off stickers Our peel offs are available in a wide variety of designs and colours
